customer_id,first_name,last_name,email,city,postal_code,registration_date,opted_in_marketing,_ingested_at
CUS00034,Wouter,Maes,cus00034@example.com,Brussel,4295,2022-10-22,1,2026-04-16 03:15:00
CUS00035,Stef,Leclercq,cus00035@example.com,Brussel,8397,2023-12-21,0,2026-04-16 03:15:00
CUS00036,Kevin,Janssen,cus00036@example.com,Antwerpen,1344,2024-10-26,1,2026-04-16 03:15:00
CUS00037,Kevin,Simon,cus00037@example.com,Gent,1117,2023-02-07,0,2026-04-16 03:15:00
CUS00038,Pieter,Maes,cus00038@example.com,Brugge,1514,2022-03-29,1,2026-04-16 03:15:00
CUS00039,Kevin,Claes,cus00039@example.com,Liège,8953,2025-10-23,0,2026-04-16 03:15:00
CUS00040,Laura,Hendrickx,cus00040@example.com,Brussel,8744,2023-03-09,0,2026-04-16 03:15:00
CUS00041,Arne,Vermeersch,cus00041@example.com,Leuven,4119,2021-10-23,0,2026-04-16 03:15:00
CUS00042,Wouter,Mertens,cus00042@example.com,Leuven,7735,2025-08-31,1,2026-04-16 03:15:00
CUS00043,Pieter,Laurent,cus00043@example.com,Liège,2612,2021-05-13,0,2026-04-16 03:15:00
CUS00044,Elisa,Vermeersch,cus00044@example.com,Namur,2790,2023-12-14,0,2026-04-16 03:15:00
CUS00045,Nathalie,Dubois,cus00045@example.com,Leuven,3296,2025-02-18,1,2026-04-16 03:15:00
CUS00046,Sophie,Leclercq,cus00046@example.com,Gent,2235,2025-03-07,1,2026-04-16 03:15:00
CUS00047,Sander,De Smedt,cus00047@example.com,Liège,9856,2021-09-05,0,2026-04-16 03:15:00
CUS00048,Kevin,Peeters,cus00048@example.com,Leuven,8956,2025-09-07,1,2026-04-16 03:15:00
CUS00049,Hanne,De Smedt,cus00049@example.com,Gent,7209,2025-01-04,0,2026-04-16 03:15:00
CUS00050,Sophie,Vermeersch,cus00050@example.com,Namur,8454,2024-01-08,1,2026-04-16 03:15:00
CUS00051,Arne,Peeters,cus00051@example.com,Gent,5861,2023-11-02,0,2026-04-16 03:15:00
CUS00052,Pieter,Hendrickx,cus00052@example.com,Antwerpen,1936,2025-11-18,0,2026-04-16 03:15:00
CUS00053,Arne,Dubois,cus00053@example.com,Namur,9701,2022-12-07,0,2026-04-16 03:15:00
CUS00054,Emma,Bogaert,cus00054@example.com,Gent,2122,2025-11-21,1,2026-04-16 03:15:00
CUS00055,Kevin,Wouters,cus00055@example.com,Brugge,5033,2025-10-29,1,2026-04-16 03:15:00
CUS00056,Pieter,Simon,cus00056@example.com,Brugge,7868,2022-11-16,1,2026-04-16 03:15:00
CUS00057,Elisa,Claes,cus00057@example.com,Gent,6147,2023-01-15,0,2026-04-16 03:15:00
CUS00058,Hanne,Peeters,cus00058@example.com,Liège,5915,2024-09-20,1,2026-04-16 03:15:00
CUS00059,Emma,De Smedt,cus00059@example.com,Leuven,2638,2024-06-08,0,2026-04-16 03:15:00
CUS00060,Nathalie,Dubois,cus00060@example.com,Antwerpen,3170,2023-03-12,1,2026-04-16 03:15:00
CUS00061,Kevin,Mertens,cus00061@example.com,Antwerpen,3584,2025-10-28,1,2026-04-16 03:15:00
CUS00062,Bram,Simon,cus00062@example.com,Namur,9666,2021-07-14,0,2026-04-16 03:15:00
CUS00063,Bram,Laurent,cus00063@example.com,Brugge,3200,2022-06-19,1,2026-04-16 03:15:00
CUS00064,Sander,Hendrickx,cus00064@example.com,Brussel,3546,2025-07-24,1,2026-04-16 03:15:00
CUS00065,Nathalie,Hendrickx,cus00065@example.com,Antwerpen,4335,2024-08-17,1,2026-04-16 03:15:00
CUS00066,Arne,Claes,cus00066@example.com,Namur,1832,2023-05-17,0,2026-04-16 03:15:00
CUS00067,Wouter,Bogaert,cus00067@example.com,Antwerpen,1722,2022-08-26,0,2026-04-16 03:15:00
CUS00068,Laura,Laurent,cus00068@example.com,Antwerpen,3647,2024-05-03,1,2026-04-16 03:15:00
CUS00069,Wouter,Dubois,cus00069@example.com,Brugge,2832,2023-02-12,0,2026-04-16 03:15:00
CUS00070,Laura,Dubois,cus00070@example.com,Brugge,7049,2022-05-02,1,2026-04-16 03:15:00
CUS00071,Laura,Wouters,cus00071@example.com,Gent,1685,2023-02-10,1,2026-04-16 03:15:00
CUS00072,Pieter,Mertens,cus00072@example.com,Gent,5088,2024-03-01,0,2026-04-16 03:15:00
CUS00073,Wouter,Simon,cus00073@example.com,Liège,3532,2024-03-23,0,2026-04-16 03:15:00
CUS00074,Thomas,Vermeersch,cus00074@example.com,Namur,3900,2021-05-12,1,2026-04-16 03:15:00
CUS00075,Thomas,Hendrickx,cus00075@example.com,Antwerpen,7745,2026-01-26,0,2026-04-16 03:15:00
CUS00076,Thomas,Vermeersch,cus00076@example.com,Liège,2771,2024-09-17,1,2026-04-16 03:15:00
CUS00077,Arne,Maes,cus00077@example.com,Gent,8541,2025-12-28,1,2026-04-16 03:15:00
CUS00078,Kevin,Maes,cus00078@example.com,Brugge,4164,2024-06-30,1,2026-04-16 03:15:00
CUS00079,Sophie,Bogaert,cus00079@example.com,Brugge,5573,2024-05-14,1,2026-04-16 03:15:00
CUS00080,Hanne,Laurent,cus00080@example.com,Namur,9785,2022-08-12,1,2026-04-16 03:15:00
CUS00081,Sander,Claes,cus00081@example.com,Gent,5349,2026-01-20,0,2026-04-16 03:15:00
CUS00082,Wouter,Mertens,cus00082@example.com,Liège,6139,2025-08-07,1,2026-04-16 03:15:00
CUS00083,Sander,Wouters,cus00083@example.com,Brussel,4114,2022-10-23,1,2026-04-16 03:15:00
CUS00084,Wouter,De Smedt,cus00084@example.com,Brussel,9821,2025-12-17,0,2026-04-16 03:15:00
CUS00085,Wouter,Janssen,cus00085@example.com,Liège,6409,2024-03-02,1,2026-04-16 03:15:00
CUS00086,Sander,Hendrickx,cus00086@example.com,Antwerpen,9308,2024-06-13,1,2026-04-16 03:15:00
CUS00087,Wouter,Mertens,cus00087@example.com,Leuven,5844,2022-06-21,1,2026-04-16 03:15:00
CUS00088,Nathalie,Wouters,cus00088@example.com,Liège,7211,2025-06-30,0,2026-04-16 03:15:00
CUS00089,Bram,Wouters,cus00089@example.com,Brussel,1006,2022-10-04,1,2026-04-16 03:15:00
CUS00090,Nathalie,Wouters,cus00090@example.com,Namur,6279,2024-08-07,1,2026-04-16 03:15:00
CUS00091,Julie,Laurent,cus00091@example.com,Gent,9375,2023-09-25,1,2026-04-16 03:15:00
CUS00092,Thomas,Laurent,cus00092@example.com,Brugge,5649,2021-10-04,1,2026-04-16 03:15:00
CUS00093,Elisa,Janssen,cus00093@example.com,Namur,4848,2022-06-27,1,2026-04-16 03:15:00
CUS00094,Nathalie,Peeters,cus00094@example.com,Brugge,1757,2024-12-12,0,2026-04-16 03:15:00
CUS00095,Emma,Leclercq,cus00095@example.com,Leuven,4185,2023-07-18,1,2026-04-16 03:15:00
CUS00096,Hanne,Maes,cus00096@example.com,Gent,1090,2023-06-09,0,2026-04-16 03:15:00
CUS00097,Wouter,Maes,cus00097@example.com,Gent,9486,2021-11-04,1,2026-04-16 03:15:00
CUS00098,Kevin,Bogaert,cus00098@example.com,Brugge,8478,2025-12-05,0,2026-04-16 03:15:00
CUS00099,Julie,Laurent,cus00099@example.com,Brussel,6198,2021-09-18,1,2026-04-16 03:15:00
CUS00100,Wouter,Bogaert,cus00100@example.com,Brussel,8305,2022-10-10,0,2026-04-16 03:15:00
CUS00101,Arne,Leclercq,cus00101@example.com,Antwerpen,5050,2022-01-14,1,2026-04-16 03:15:00
CUS00102,Arne,Laurent,cus00102@example.com,Gent,5499,2021-11-30,1,2026-04-16 03:15:00
CUS00103,Bram,Maes,cus00103@example.com,Antwerpen,6502,2025-10-10,1,2026-04-16 03:15:00
CUS00104,Emma,Peeters,cus00104@example.com,Gent,4788,2023-03-07,1,2026-04-16 03:15:00
CUS00105,Laura,Hendrickx,cus00105@example.com,Gent,2052,2022-04-26,1,2026-04-16 03:15:00
CUS00106,Elisa,Dubois,cus00106@example.com,Leuven,7812,2023-12-04,0,2026-04-16 03:15:00
CUS00107,Wouter,Wouters,cus00107@example.com,Namur,1320,2025-01-18,1,2026-04-16 03:15:00
CUS00108,Arne,De Smedt,cus00108@example.com,Antwerpen,5892,2024-01-28,1,2026-04-16 03:15:00
CUS00109,Wouter,Dubois,cus00109@example.com,Liège,9947,2021-06-04,1,2026-04-16 03:15:00
CUS00110,Arne,Maes,cus00110@example.com,Antwerpen,8140,2024-12-21,1,2026-04-16 03:15:00
CUS00111,Hanne,Mertens,cus00111@example.com,Liège,7624,2026-01-17,0,2026-04-16 03:15:00
CUS00112,Julie,Peeters,cus00112@example.com,Brussel,9751,2021-06-30,0,2026-04-16 03:15:00
CUS00113,Lotte,Janssen,cus00113@example.com,Liège,8022,2024-01-01,0,2026-04-16 03:15:00
CUS00114,Thomas,De Smedt,cus00114@example.com,Antwerpen,7211,2023-08-15,1,2026-04-16 03:15:00
CUS00115,Julie,Mertens,cus00115@example.com,Antwerpen,7211,2025-01-08,1,2026-04-16 03:15:00
CUS00116,Wouter,Claes,cus00116@example.com,Namur,2341,2021-12-28,1,2026-04-16 03:15:00
CUS00117,Pieter,Mertens,cus00117@example.com,Gent,2124,2026-02-06,0,2026-04-16 03:15:00
CUS00118,Lotte,Maes,cus00118@example.com,Gent,1333,2021-12-24,1,2026-04-16 03:15:00
CUS00119,Kevin,Peeters,cus00119@example.com,Leuven,2874,2025-05-09,1,2026-04-16 03:15:00
CUS00120,Julie,Hendrickx,cus00120@example.com,Antwerpen,7043,2024-12-26,0,2026-04-16 03:15:00
CUS00121,Sander,Vermeersch,cus00121@example.com,Namur,3683,2022-10-24,1,2026-04-16 03:15:00
CUS00122,Lotte,Claes,cus00122@example.com,Brussel,7149,2025-08-08,1,2026-04-16 03:15:00
CUS00123,Nathalie,Janssen,cus00123@example.com,Brussel,4978,2022-03-14,0,2026-04-16 03:15:00
CUS00124,Bram,Bogaert,cus00124@example.com,Liège,2983,2022-04-20,1,2026-04-16 03:15:00
CUS00125,Pieter,Mertens,cus00125@example.com,Brussel,8018,2021-10-27,1,2026-04-16 03:15:00
CUS00126,Elisa,De Smedt,cus00126@example.com,Namur,7882,2025-10-27,1,2026-04-16 03:15:00
CUS00127,Wouter,Mertens,cus00127@example.com,Liège,8532,2025-08-13,0,2026-04-16 03:15:00
CUS00128,Thomas,Hendrickx,cus00128@example.com,Brussel,5425,2023-10-08,1,2026-04-16 03:15:00
CUS00129,Arne,Leclercq,cus00129@example.com,Leuven,5397,2021-09-04,1,2026-04-16 03:15:00
CUS00130,Kevin,Bogaert,cus00130@example.com,Brugge,5569,2021-06-07,1,2026-04-16 03:15:00
CUS00131,Julie,Simon,cus00131@example.com,Brussel,7209,2024-11-03,1,2026-04-16 03:15:00
CUS00132,Arne,Bogaert,cus00132@example.com,Antwerpen,3979,2026-01-18,1,2026-04-16 03:15:00
CUS00133,Stef,Vermeersch,cus00133@example.com,Antwerpen,6576,2025-01-07,1,2026-04-16 03:15:00
CUS00134,Sophie,Dubois,cus00134@example.com,Brugge,9464,2022-11-13,0,2026-04-16 03:15:00
CUS00135,Kevin,Hendrickx,cus00135@example.com,Leuven,9004,2025-09-23,1,2026-04-16 03:15:00
CUS00136,Kevin,Hendrickx,cus00136@example.com,Leuven,9041,2021-12-16,1,2026-04-16 03:15:00
CUS00137,Lotte,Janssen,cus00137@example.com,Antwerpen,4630,2021-10-06,1,2026-04-16 03:15:00
CUS00138,Kevin,Claes,cus00138@example.com,Liège,7046,2022-05-01,1,2026-04-16 03:15:00
CUS00139,Stef,Wouters,cus00139@example.com,Liège,6419,2023-02-08,1,2026-04-16 03:15:00
CUS00140,Julie,Claes,cus00140@example.com,Antwerpen,5118,2022-04-08,0,2026-04-16 03:15:00
CUS00141,Nathalie,Mertens,cus00141@example.com,Brugge,9779,2025-07-13,0,2026-04-16 03:15:00
CUS00142,Nathalie,Hendrickx,cus00142@example.com,Leuven,5530,2025-02-18,1,2026-04-16 03:15:00
CUS00143,Bram,Janssen,cus00143@example.com,Namur,4180,2021-12-12,1,2026-04-16 03:15:00
CUS00144,Stef,Peeters,cus00144@example.com,Antwerpen,1231,2024-12-07,1,2026-04-16 03:15:00
CUS00145,Sophie,De Smedt,cus00145@example.com,Brugge,5786,2025-07-01,0,2026-04-16 03:15:00
CUS00146,Arne,Janssen,cus00146@example.com,Namur,1200,2022-08-19,1,2026-04-16 03:15:00
CUS00147,Arne,Leclercq,cus00147@example.com,Leuven,6582,2024-08-12,0,2026-04-16 03:15:00
CUS00148,Sophie,Bogaert,cus00148@example.com,Leuven,2869,2025-12-02,0,2026-04-16 03:15:00
CUS00149,Arne,Janssen,cus00149@example.com,Brussel,1878,2023-12-18,0,2026-04-16 03:15:00
CUS00150,Bram,Janssen,cus00150@example.com,Gent,2940,2025-05-16,1,2026-04-16 03:15:00
CUS00151,Wouter,Simon,cus00151@example.com,Brussel,4697,2021-12-03,1,2026-04-16 03:15:00
CUS00152,Julie,Leclercq,cus00152@example.com,Antwerpen,8025,2024-01-28,1,2026-04-16 03:15:00
CUS00153,Pieter,Simon,cus00153@example.com,Liège,2625,2023-01-08,0,2026-04-16 03:15:00
CUS00154,Nathalie,Claes,cus00154@example.com,Liège,2330,2022-09-13,0,2026-04-16 03:15:00
CUS00155,Thomas,Dubois,cus00155@example.com,Brugge,3564,2024-11-11,0,2026-04-16 03:15:00
CUS00156,Julie,Hendrickx,cus00156@example.com,Brussel,8699,2023-12-02,1,2026-04-16 03:15:00
CUS00157,Kevin,Claes,cus00157@example.com,Liège,5632,2026-01-10,1,2026-04-16 03:15:00
CUS00158,Kevin,Claes,cus00158@example.com,Namur,4241,2025-10-23,1,2026-04-16 03:15:00
CUS00159,Kevin,Laurent,cus00159@example.com,Gent,5352,2025-07-25,0,2026-04-16 03:15:00
CUS00160,Pieter,Peeters,cus00160@example.com,Namur,6039,2025-10-22,1,2026-04-16 03:15:00
CUS00161,Bram,Leclercq,cus00161@example.com,Brugge,8679,2022-01-04,1,2026-04-16 03:15:00
CUS00162,Hanne,Claes,cus00162@example.com,Brussel,9847,2022-04-14,1,2026-04-16 03:15:00
CUS00163,Emma,Simon,cus00163@example.com,Brugge,8078,2023-10-03,1,2026-04-16 03:15:00
CUS00164,Sophie,De Smedt,cus00164@example.com,Brugge,4750,2022-10-28,1,2026-04-16 03:15:00
CUS00165,Lotte,Vermeersch,cus00165@example.com,Liège,5415,2022-12-01,1,2026-04-16 03:15:00
CUS00166,Thomas,Leclercq,cus00166@example.com,Brussel,8245,2025-12-25,1,2026-04-16 03:15:00
CUS00167,Wouter,Laurent,cus00167@example.com,Namur,9056,2025-03-11,0,2026-04-16 03:15:00
CUS00168,Stef,Wouters,cus00168@example.com,Antwerpen,6260,2023-07-29,0,2026-04-16 03:15:00
CUS00169,Thomas,Mertens,cus00169@example.com,Leuven,9117,2021-05-26,1,2026-04-16 03:15:00
CUS00170,Hanne,Bogaert,cus00170@example.com,Namur,1601,2022-06-30,1,2026-04-16 03:15:00
CUS00171,Elisa,Claes,cus00171@example.com,Antwerpen,2899,2025-09-18,1,2026-04-16 03:15:00
CUS00172,Lotte,Laurent,cus00172@example.com,Namur,9889,2023-04-29,1,2026-04-16 03:15:00
CUS00173,Pieter,Maes,cus00173@example.com,Brussel,6927,2023-11-22,1,2026-04-16 03:15:00
CUS00174,Arne,Laurent,cus00174@example.com,Leuven,1845,2021-12-19,0,2026-04-16 03:15:00
CUS00175,Laura,Claes,cus00175@example.com,Leuven,8941,2024-09-17,0,2026-04-16 03:15:00
CUS00176,Kevin,Hendrickx,cus00176@example.com,Gent,6091,2026-01-17,1,2026-04-16 03:15:00
CUS00177,Wouter,Janssen,cus00177@example.com,Gent,2858,2026-02-17,1,2026-04-16 03:15:00
CUS00178,Laura,Leclercq,cus00178@example.com,Liège,5781,2025-07-20,1,2026-04-16 03:15:00
CUS00179,Sophie,Wouters,cus00179@example.com,Namur,8905,2022-04-03,1,2026-04-16 03:15:00
CUS00180,Julie,Dubois,cus00180@example.com,Gent,7284,2024-11-03,0,2026-04-16 03:15:00
CUS00181,Laura,Bogaert,cus00181@example.com,Brugge,5526,2022-11-06,1,2026-04-16 03:15:00
CUS00182,Sophie,Bogaert,cus00182@example.com,Brugge,5634,2024-04-20,1,2026-04-16 03:15:00
CUS00183,Arne,Bogaert,cus00183@example.com,Gent,8316,2021-07-06,1,2026-04-16 03:15:00
CUS00184,Stef,Mertens,cus00184@example.com,Brussel,9903,2023-06-30,1,2026-04-16 03:15:00
CUS00185,Elisa,Bogaert,cus00185@example.com,Gent,4912,2023-08-28,1,2026-04-16 03:15:00
CUS00186,Kevin,Bogaert,cus00186@example.com,Namur,7730,2024-01-23,0,2026-04-16 03:15:00
CUS00187,Arne,Hendrickx,cus00187@example.com,Namur,7246,2024-06-04,1,2026-04-16 03:15:00
CUS00188,Laura,Leclercq,cus00188@example.com,Brugge,3068,2022-06-27,1,2026-04-16 03:15:00
CUS00189,Elisa,Bogaert,cus00189@example.com,Brugge,8213,2022-11-25,0,2026-04-16 03:15:00
CUS00190,Julie,De Smedt,cus00190@example.com,Liège,3361,2023-04-05,1,2026-04-16 03:15:00
CUS00191,Laura,Janssen,cus00191@example.com,Leuven,5342,2022-07-16,1,2026-04-16 03:15:00
CUS00192,Hanne,Laurent,cus00192@example.com,Brugge,6383,2022-09-18,1,2026-04-16 03:15:00
CUS00193,Elisa,Laurent,cus00193@example.com,Liège,8994,2024-01-29,1,2026-04-16 03:15:00
CUS00194,Emma,Maes,cus00194@example.com,Liège,5708,2026-01-03,0,2026-04-16 03:15:00
CUS00195,Emma,Wouters,cus00195@example.com,Brugge,2646,2022-01-08,1,2026-04-16 03:15:00
CUS00196,Bram,De Smedt,cus00196@example.com,Brugge,6314,2025-04-11,0,2026-04-16 03:15:00
CUS00197,Stef,Mertens,cus00197@example.com,Leuven,3385,2024-07-25,0,2026-04-16 03:15:00
CUS00198,Wouter,Simon,cus00198@example.com,Liège,3950,2023-03-26,0,2026-04-16 03:15:00
CUS00199,Emma,Simon,cus00199@example.com,Namur,7267,2025-03-24,1,2026-04-16 03:15:00
CUS00200,Kevin,Leclercq,cus00200@example.com,Brussel,3344,2022-05-18,0,2026-04-16 03:15:00
